날짜,매장,요일,총주문,매장주문,배달주문,대게kg,킹크랩kg,랍스타kg,주류매출,매장매출,배달매출,포장매출,현금매출,총매출,총kg,객단가,원본시트,중복
2025-12-03,안양점,수,10,10,,15.9,9.5,2.5,87000,2977000,,91200,0,3068200,27.9,306820,샘플,
2025-12-04,안양점,목,10,10,,16.9,9.5,1.5,45000,2376900,,127300,0,2504200,27.9,250420,샘플,
2025-12-05,안양점,금,16,16,,36.8,15.6,2.0,107000,4403300,,,0,4403300,54.4,275206,샘플,
2025-12-06,안양점,토,18,18,,42.9,16.5,5.1,150000,4299800,,,0,4299800,64.5,238878,샘플,
2025-12-07,안양점,일,12,12,,23.0,11.3,0.9,59000,2954000,,88500,0,3042500,35.2,253542,샘플,
2025-12-08,안양점,월,8,8,,17.1,8.2,0.4,38000,1927300,,122600,0,2049900,25.7,256238,샘플,
2025-12-09,안양점,화,10,10,1,21.6,6.5,2.9,76000,2371100,105600,,0,2476700,31.0,247670,샘플,
2025-12-10,안양점,수,14,14,1,23.5,12.9,0.4,111000,3422300,158800,,0,3581100,36.8,255793,샘플,
2025-12-11,안양점,목,7,7,,13.4,4.7,1.3,48000,1808300,,,0,1808300,19.4,258329,샘플,
2025-12-12,안양점,금,12,12,,27.1,11.2,2.3,73000,3497100,,74900,0,3572000,40.6,297667,샘플,
2025-12-13,안양점,토,14,14,1,24.1,11.2,3.0,84000,3373300,162000,,0,3535300,38.3,252521,샘플,
2025-12-14,안양점,일,9,9,1,21.0,6.2,1.8,60000,2560200,221400,,0,2781600,29.0,309067,샘플,
2025-12-15,안양점,월,9,9,1,17.7,5.9,1.6,52000,2410800,167000,155100,0,2732900,25.2,303656,샘플,
2025-12-16,안양점,화,3,3,,6.5,2.5,0.9,12000,728500,,102600,0,831100,9.9,277033,샘플,
2025-12-17,안양점,수,8,8,,15.0,6.5,1.7,69000,2037100,,,0,2037100,23.2,254638,샘플,
2025-12-18,안양점,목,10,10,,17.0,10.0,1.2,71000,2448400,,,0,2448400,28.2,244840,샘플,
2025-12-19,안양점,금,11,11,1,26.0,8.5,2.1,79000,3160400,159500,,0,3319900,36.6,301809,샘플,
2025-12-20,안양점,토,15,15,,28.8,14.9,1.0,60000,4189400,,82300,0,4271700,44.7,284780,샘플,
2025-12-21,안양점,일,13,13,,23.0,10.9,1.7,55000,3569900,,,0,3569900,35.6,274608,샘플,
2025-12-22,안양점,월,10,10,,23.2,9.9,0.4,72000,2881900,,,0,2881900,33.5,288190,샘플,
2025-12-23,안양점,화,8,8,1,13.7,7.9,0.8,59000,1925400,214500,,0,2139900,22.4,267488,샘플,
2025-12-24,안양점,수,9,9,,14.2,9.5,1.5,39000,2471000,,85500,0,2556500,25.2,284056,샘플,
2025-12-25,안양점,목,9,9,,14.5,7.3,2.2,47000,2368100,,,0,2368100,24.0,263122,샘플,
2025-12-26,안양점,금,12,12,1,24.5,11.6,0.6,73000,3029300,193100,,0,3222400,36.7,268533,샘플,
2025-12-27,안양점,토,18,18,,37.3,11.1,3.3,115000,5000000,,,0,5000000,51.7,277778,샘플,
2025-12-28,안양점,일,15,15,,23.0,14.4,2.8,128000,3805500,,126400,0,3931900,40.2,262127,샘플,
2025-12-29,안양점,월,8,8,,12.4,6.0,0.9,45000,2116400,,,0,2116400,19.3,264550,샘플,
2025-12-30,안양점,화,9,9,,17.5,5.9,0.5,80000,2519300,,70500,0,2589800,23.9,287756,샘플,
2025-12-31,안양점,수,7,7,1,14.1,5.6,0.2,45000,1632700,183400,67200,0,1883300,19.9,269043,샘플,
2026-01-01,안양점,목,9,9,,16.5,6.1,1.8,64000,2504100,,136000,0,2640100,24.4,293344,샘플,
2026-01-02,안양점,금,10,10,,18.8,6.5,2.8,83000,2309300,,145200,0,2454500,28.1,245450,샘플,
2026-01-03,안양점,토,12,12,,18.4,7.3,2.0,55000,3245700,,64700,0,3310400,27.7,275867,샘플,
2026-01-04,안양점,일,10,10,,19.0,6.1,1.2,44000,2714300,,,0,2714300,26.3,271430,샘플,
2026-01-05,안양점,월,6,6,,13.8,5.5,0.8,27000,1383900,,,0,1383900,20.1,230650,샘플,
2026-01-06,안양점,화,7,7,,13.3,6.8,1.9,47000,1789200,,,0,1789200,22.0,255600,샘플,
2026-01-07,안양점,수,11,11,,23.1,11.5,3.0,81000,2570500,,,0,2570500,37.6,233682,샘플,
2026-01-08,안양점,목,8,8,,16.3,8.6,2.0,50000,2181000,,147300,0,2328300,26.9,291038,샘플,
2026-01-09,안양점,금,14,14,1,33.2,9.2,4.0,110000,3380700,161000,,0,3541700,46.4,252979,샘플,
2026-01-10,안양점,토,15,15,,35.6,14.3,3.7,103000,3798600,,159900,0,3958500,53.6,263900,샘플,
2026-01-11,안양점,일,14,14,,24.1,11.1,1.6,78000,3976000,,,0,3976000,36.8,284000,샘플,
2026-01-12,안양점,월,11,11,,24.1,10.9,1.0,94000,2638300,,142100,0,2780400,36.0,252764,샘플,
2026-01-13,안양점,화,11,11,,17.3,9.6,2.6,69000,2684300,,,0,2684300,29.5,244027,샘플,
2026-01-14,안양점,수,8,8,,17.7,6.6,0.2,42000,2291600,,122500,0,2414100,24.5,301762,샘플,
2026-01-15,안양점,목,13,13,,23.3,11.1,0.8,89000,3183500,,94700,0,3278200,35.2,252169,샘플,
2026-01-16,안양점,금,13,13,,22.4,13.8,1.9,90000,3778300,,,0,3778300,38.1,290638,샘플,
2026-01-17,안양점,토,12,12,1,23.6,7.3,0.1,94000,3591900,179700,,0,3771600,31.0,314300,샘플,
2026-01-18,안양점,일,17,17,,38.0,18.4,1.3,72000,3955000,,,0,3955000,57.7,232647,샘플,
2026-01-19,안양점,월,7,7,,16.0,5.8,2.0,32000,2055800,,107600,0,2163400,23.8,309057,샘플,
2026-01-20,안양점,화,7,7,1,14.5,7.5,1.4,62000,1802600,224400,,0,2027000,23.4,289571,샘플,
2026-01-21,안양점,수,11,11,,16.9,8.0,1.2,72000,3225100,,,0,3225100,26.1,293191,샘플,
2026-01-22,안양점,목,10,10,,15.9,7.6,0.0,45000,2439200,,,0,2439200,23.5,243920,샘플,
2026-01-23,안양점,금,10,10,,17.3,6.6,1.4,63000,2418000,,167000,0,2585000,25.3,258500,샘플,
2026-01-24,안양점,토,16,16,,36.0,10.2,3.0,94000,4097800,,,0,4097800,49.2,256112,샘플,
2026-01-25,안양점,일,,,,,,,,,,,,0,,,샘플,
2026-01-26,안양점,월,7,7,,16.6,5.3,0.5,34000,1666600,,,0,1666600,22.4,238086,샘플,
2026-01-27,안양점,화,9,9,,14.7,7.3,0.7,40000,2086000,,,0,2086000,22.7,231778,샘플,
2026-01-28,안양점,수,7,7,,13.5,4.7,1.1,54000,1919100,,,0,1919100,19.3,274157,샘플,
2026-01-29,안양점,목,8,8,,13.7,5.8,0.9,37000,2072700,,177400,0,2250100,20.4,281262,샘플,
2026-01-30,안양점,금,13,13,,24.7,11.1,2.0,78000,3393100,,,0,3393100,37.8,261008,샘플,
2026-01-31,안양점,토,17,17,,33.5,12.2,0.9,91000,4624700,,119400,0,4744100,46.6,279065,샘플,
2026-02-01,안양점,일,17,17,,34.9,16.2,4.1,102000,4603600,,147900,0,4751500,55.2,279500,샘플,
2026-02-02,안양점,월,12,12,,21.6,12.3,3.1,87000,3174100,,,0,3174100,37.0,264508,샘플,
2026-02-03,안양점,화,9,9,,18.1,9.8,0.1,39000,2512400,,,0,2512400,28.0,279156,샘플,
2026-02-04,안양점,수,9,9,,20.9,8.9,2.3,58000,2433000,,,0,2433000,32.1,270333,샘플,
2026-02-05,안양점,목,13,13,,25.7,11.3,0.1,68000,3870300,,,0,3870300,37.1,297715,샘플,
2026-02-06,안양점,금,13,13,1,27.7,9.1,0.1,74000,3535400,168800,113300,0,3817500,36.9,293654,샘플,
2026-02-07,안양점,토,16,16,,26.6,11.8,2.2,74000,4336200,,,0,4336200,40.6,271012,샘플,
2026-02-08,안양점,일,14,14,1,28.2,13.6,0.7,92000,4029400,197900,160700,0,4388000,42.5,313429,샘플,
2026-02-09,안양점,월,8,8,,18.8,7.9,0.8,68000,1974600,,156500,0,2131100,27.5,266388,샘플,
2026-02-10,안양점,화,8,8,1,15.7,8.6,2.2,53000,1979500,192700,,0,2172200,26.5,271525,샘플,
2026-02-11,안양점,수,8,8,1,15.1,6.8,0.0,64000,1918000,212000,,0,2130000,21.9,266250,샘플,
2026-02-12,안양점,목,10,10,,20.8,7.3,2.0,40000,2491400,,,0,2491400,30.1,249140,샘플,
2026-02-13,안양점,금,12,12,,18.4,7.9,1.3,53000,2900200,,168100,0,3068300,27.6,255692,샘플,
2026-02-14,안양점,토,17,17,,33.3,17.7,4.7,92000,4597000,,,0,4597000,55.7,270412,샘플,
2026-02-15,안양점,일,13,13,,27.6,9.2,1.5,83000,3489200,,96400,0,3585600,38.3,275815,샘플,
2026-02-16,안양점,월,10,10,,16.7,8.7,2.9,56000,2577500,,,0,2577500,28.3,257750,샘플,
2026-02-17,안양점,화,8,8,,18.3,5.7,0.1,34000,1852200,,,0,1852200,24.1,231525,샘플,
2026-02-18,안양점,수,5,5,,8.0,3.6,1.4,36000,1408500,,102200,0,1510700,13.0,302140,샘플,
2026-02-19,안양점,목,11,11,1,24.9,11.1,1.7,94000,3098800,125600,145000,0,3369400,37.7,306309,샘플,
2026-02-20,안양점,금,13,13,,28.5,11.6,1.9,91000,3866000,,,0,3866000,42.0,297385,샘플,
2026-02-21,안양점,토,15,15,1,28.6,12.4,3.3,84000,3757500,169400,106100,0,4033000,44.3,268867,샘플,
2026-02-22,안양점,일,15,15,1,28.5,10.4,1.4,84000,3602200,178800,,0,3781000,40.3,252067,샘플,
2026-02-23,안양점,월,7,7,,14.3,5.0,0.7,45000,2086300,,,0,2086300,20.0,298043,샘플,
2026-02-24,안양점,화,8,8,1,19.2,6.9,1.2,46000,2223700,158900,,0,2382600,27.3,297825,샘플,
2026-02-25,안양점,수,6,6,1,12.7,5.2,0.2,29000,1537200,190200,78500,0,1805900,18.1,300983,샘플,
2026-02-26,안양점,목,7,7,,16.2,6.3,1.5,30000,1975700,,,0,1975700,24.0,282243,샘플,
2026-02-27,안양점,금,14,14,1,23.2,13.0,1.2,91000,3556400,187200,94700,0,3838300,37.4,274164,샘플,
2026-02-28,안양점,토,16,16,,33.1,14.4,1.7,88000,4792900,,,0,4792900,49.2,299556,샘플,
2026-03-01,안양점,일,15,15,,22.6,11.3,3.8,102000,4065500,,,0,4065500,37.7,271033,샘플,
2026-03-02,안양점,월,10,10,,16.3,7.0,1.8,66000,2401700,,,0,2401700,25.1,240170,샘플,
2026-03-03,안양점,화,6,6,,12.3,6.0,0.1,29000,1385200,,,0,1385200,18.4,230867,샘플,
2026-03-04,안양점,수,12,12,,24.3,9.3,1.6,105000,3083900,,,0,3083900,35.2,256992,샘플,
2026-03-05,안양점,목,12,12,,24.7,8.7,0.2,84000,3541800,,,0,3541800,33.6,295150,샘플,
2026-03-06,안양점,금,8,8,,13.7,6.4,1.7,63000,1963900,,118100,0,2082000,21.8,260250,샘플,
2026-03-07,안양점,토,16,16,,26.5,12.5,0.9,106000,4768100,,,0,4768100,39.9,298006,샘플,
2026-03-08,안양점,일,13,13,,20.9,13.2,1.4,54000,3212800,,,0,3212800,35.5,247138,샘플,
2026-03-09,안양점,월,9,9,,16.3,6.1,1.9,57000,2128300,,,0,2128300,24.3,236478,샘플,
2026-03-10,안양점,화,8,8,,13.6,6.4,1.5,66000,2165200,,84500,0,2249700,21.5,281212,샘플,
2026-03-11,안양점,수,10,10,,23.5,11.0,1.8,50000,2608200,,,0,2608200,36.3,260820,샘플,
2026-03-12,안양점,목,11,11,,21.9,8.1,2.5,82000,2826300,,,0,2826300,32.5,256936,샘플,
2026-03-13,안양점,금,14,14,,23.9,9.7,3.7,106000,3286700,,,0,3286700,37.3,234764,샘플,
2026-03-14,안양점,토,15,15,,27.9,11.7,3.8,110000,3937600,,,0,3937600,43.4,262507,샘플,
2026-03-15,안양점,일,17,17,,30.9,13.7,3.4,121000,4742100,,,0,4742100,48.0,278947,샘플,
2026-03-16,안양점,월,12,12,,25.9,11.5,0.1,92000,2793500,,,0,2793500,37.5,232792,샘플,
2026-03-17,안양점,화,10,10,1,20.7,10.7,1.7,73000,2459300,201800,,0,2661100,33.1,266110,샘플,
2026-03-18,안양점,수,9,9,,19.7,8.3,2.4,71000,2621300,,73300,0,2694600,30.4,299400,샘플,
2026-03-19,안양점,목,9,9,1,20.9,8.8,0.2,48000,2507600,249600,159400,0,2916600,29.9,324067,샘플,
2026-03-20,안양점,금,14,14,1,32.7,13.2,3.1,85000,4033300,166400,143700,0,4343400,49.0,310243,샘플,
2026-03-21,안양점,토,15,15,,35.0,10.0,3.4,107000,3495800,,,0,3495800,48.4,233053,샘플,
2026-03-22,안양점,일,14,14,,25.5,11.3,0.8,72000,3524300,,,0,3524300,37.6,251736,샘플,
2026-03-23,안양점,월,9,9,,17.7,7.4,2.5,61000,2291400,,77000,0,2368400,27.6,263156,샘플,
2026-03-24,안양점,화,9,9,1,19.7,6.2,1.8,41000,2447100,222700,,0,2669800,27.7,296644,샘플,
2026-03-25,안양점,수,6,6,,10.9,4.2,0.1,27000,1497900,,,0,1497900,15.2,249650,샘플,
2026-03-26,안양점,목,8,8,1,13.2,5.1,0.0,61000,2395500,94200,99800,0,2589500,18.3,323688,샘플,
2026-03-27,안양점,금,13,13,,27.0,14.0,1.9,92000,3703300,,,0,3703300,42.9,284869,샘플,
2026-03-28,안양점,토,15,15,,25.8,10.0,0.1,99000,4263100,,,0,4263100,35.9,284207,샘플,
