날짜,매장,품목,품종,kg,단가,금액,거래처,원본시트
2025-02-27,안산점,브라운 킹크랩,킹크랩,113.2,90000,10188000,샘플 수산,샘플
2025-03-02,안산점,블루 킹크랩,킹크랩,37.4,88000,3291200,샘플 수산,샘플
2025-03-05,안산점,프리모리 대게,대게,67.7,59000,3994300,샘플 수산,샘플
2025-03-07,안산점,베르디 대게,대게,129.2,56000,7235199,샘플 수산,샘플
2025-03-20,안산점,베르디 대게,대게,52.7,51000,2687700,샘플 수산,샘플
2025-03-24,안산점,프리모리 대게,대게,44.8,51000,2284800,샘플 수산,샘플
2025-03-27,안산점,마가단 대게,대게,128.6,48000,6172800,샘플 수산,샘플
2025-03-27,안산점,블루 킹크랩,킹크랩,48.9,78000,3814200,샘플 수산,샘플
2025-04-07,안산점,베르디 대게,대게,38.3,51000,1953299,샘플 수산,샘플
2025-04-10,안산점,베르디 대게,대게,118.3,44000,5205200,샘플 수산,샘플
2025-04-17,안산점,베르디 대게,대게,87.4,47000,4107800,샘플 수산,샘플
2025-04-17,안산점,레드 킹크랩,킹크랩,84.8,72000,6105600,샘플 수산,샘플
2025-04-24,안산점,마가단 대게,대게,82.8,44000,3643200,샘플 수산,샘플
2025-04-28,안산점,마가단 대게,대게,97.1,47000,4563700,샘플 수산,샘플
2025-05-08,안산점,프리모리 대게,대게,102.6,46000,4719600,샘플 수산,샘플
2025-05-11,안산점,프리모리 대게,대게,42.4,37000,1568800,샘플 수산,샘플
2025-05-12,안산점,블루 킹크랩,킹크랩,121.0,64000,7744000,샘플 수산,샘플
2025-05-14,안산점,블루 킹크랩,킹크랩,121.1,66000,7992600,샘플 수산,샘플
2025-05-19,안산점,프리모리 대게,대게,83.8,37000,3100600,샘플 수산,샘플
2025-05-19,안산점,레드 킹크랩,킹크랩,54.4,61000,3318400,샘플 수산,샘플
2025-05-22,안산점,브라운 킹크랩,킹크랩,60.6,63000,3817800,샘플 수산,샘플
2025-05-26,안산점,베르디 대게,대게,59.5,41000,2439500,샘플 수산,샘플
2025-05-28,안산점,베르디 대게,대게,93.5,34000,3179000,샘플 수산,샘플
2025-05-29,안산점,동사 대게,대게,124.9,40000,4996000,샘플 수산,샘플
2025-06-03,안산점,동사 대게,대게,52.3,34000,1778200,샘플 수산,샘플
2025-06-12,안산점,레드 킹크랩,킹크랩,121.7,60000,7302000,샘플 수산,샘플
2025-06-16,안산점,블루 킹크랩,킹크랩,57.9,57000,3300300,샘플 수산,샘플
2025-06-17,안산점,프리모리 대게,대게,109.0,36000,3924000,샘플 수산,샘플
2025-06-18,안산점,레드 킹크랩,킹크랩,119.2,59000,7032800,샘플 수산,샘플
2025-06-19,안산점,프리모리 대게,대게,85.6,31000,2653600,샘플 수산,샘플
2025-06-23,안산점,베르디 대게,대게,108.0,30000,3240000,샘플 수산,샘플
2025-06-23,안산점,브라운 킹크랩,킹크랩,73.6,52000,3827199,샘플 수산,샘플
2025-06-26,안산점,프리모리 대게,대게,88.0,29000,2552000,샘플 수산,샘플
2025-06-26,안산점,브라운 킹크랩,킹크랩,50.3,54000,2716200,샘플 수산,샘플
2025-06-28,안산점,브라운 킹크랩,킹크랩,79.6,53000,4218800,샘플 수산,샘플
2025-06-30,안산점,블루 킹크랩,킹크랩,41.4,54000,2235600,샘플 수산,샘플
2025-07-03,안산점,동사 대게,대게,61.4,35000,2149000,샘플 수산,샘플
2025-07-14,안산점,블루 킹크랩,킹크랩,71.0,51000,3621000,샘플 수산,샘플
2025-07-16,안산점,베르디 대게,대게,33.4,31000,1035400,샘플 수산,샘플
2025-07-17,안산점,베르디 대게,대게,115.5,30000,3465000,샘플 수산,샘플
2025-07-19,안산점,블루 킹크랩,킹크랩,70.3,53000,3725900,샘플 수산,샘플
2025-07-24,안산점,레드 킹크랩,킹크랩,67.9,55000,3734500,샘플 수산,샘플
2025-07-31,안산점,브라운 킹크랩,킹크랩,99.1,53000,5252300,샘플 수산,샘플
2025-08-04,안산점,브라운 킹크랩,킹크랩,40.3,57000,2297100,샘플 수산,샘플
2025-08-14,안산점,프리모리 대게,대게,71.1,34000,2417400,샘플 수산,샘플
2025-08-18,안산점,프리모리 대게,대게,58.0,33000,1914000,샘플 수산,샘플
2025-08-21,안산점,프리모리 대게,대게,114.8,31000,3558800,샘플 수산,샘플
2025-08-28,안산점,프리모리 대게,대게,72.8,34000,2475200,샘플 수산,샘플
2025-09-04,안산점,브라운 킹크랩,킹크랩,115.3,59000,6802700,샘플 수산,샘플
2025-09-05,안산점,브라운 킹크랩,킹크랩,69.1,58000,4007799,샘플 수산,샘플
2025-09-09,안산점,동사 대게,대게,33.5,38000,1273000,샘플 수산,샘플
2025-09-11,안산점,브라운 킹크랩,킹크랩,76.9,56000,4306400,샘플 수산,샘플
2025-09-12,안산점,베르디 대게,대게,100.7,34000,3423800,샘플 수산,샘플
2025-09-15,안산점,프리모리 대게,대게,113.0,40000,4520000,샘플 수산,샘플
2025-09-15,안산점,블루 킹크랩,킹크랩,43.6,60000,2616000,샘플 수산,샘플
2025-09-17,안산점,레드 킹크랩,킹크랩,90.5,62000,5611000,샘플 수산,샘플
2025-09-18,안산점,프리모리 대게,대게,30.1,41000,1234100,샘플 수산,샘플
2025-09-18,안산점,레드 킹크랩,킹크랩,84.7,65000,5505500,샘플 수산,샘플
2025-09-25,안산점,브라운 킹크랩,킹크랩,92.2,62000,5716400,샘플 수산,샘플
2025-10-05,안산점,브라운 킹크랩,킹크랩,92.2,66000,6085200,샘플 수산,샘플
2025-10-06,안산점,프리모리 대게,대게,80.7,45000,3631500,샘플 수산,샘플
2025-10-06,안산점,레드 킹크랩,킹크랩,93.5,66000,6171000,샘플 수산,샘플
2025-10-13,안산점,레드 킹크랩,킹크랩,48.5,74000,3589000,샘플 수산,샘플
2025-10-16,안산점,프리모리 대게,대게,57.1,46000,2626600,샘플 수산,샘플
2025-10-17,안산점,레드 킹크랩,킹크랩,101.3,76000,7698800,샘플 수산,샘플
2025-10-23,안산점,베르디 대게,대게,73.9,50000,3695000,샘플 수산,샘플
2025-10-27,안산점,레드 킹크랩,킹크랩,47.5,73000,3467500,샘플 수산,샘플
2025-10-30,안산점,동사 대게,대게,118.4,49000,5801600,샘플 수산,샘플
2025-11-02,안산점,브라운 킹크랩,킹크랩,36.4,81000,2948400,샘플 수산,샘플
2025-11-03,안산점,브라운 킹크랩,킹크랩,63.6,81000,5151600,샘플 수산,샘플
2025-11-06,안산점,동사 대게,대게,85.1,55000,4680500,샘플 수산,샘플
2025-11-06,안산점,브라운 킹크랩,킹크랩,123.9,84000,10407600,샘플 수산,샘플
2025-11-08,안산점,베르디 대게,대게,115.7,46000,5322200,샘플 수산,샘플
2025-11-10,안산점,베르디 대게,대게,85.6,55000,4708000,샘플 수산,샘플
2025-11-10,안산점,블루 킹크랩,킹크랩,66.5,82000,5453000,샘플 수산,샘플
2025-11-18,안산점,블루 킹크랩,킹크랩,44.1,81000,3572100,샘플 수산,샘플
2025-11-24,안산점,블루 킹크랩,킹크랩,104.3,88000,9178400,샘플 수산,샘플
2025-11-27,안산점,레드 킹크랩,킹크랩,32.2,85000,2737000,샘플 수산,샘플
2025-12-01,안산점,브라운 킹크랩,킹크랩,128.8,87000,11205600,샘플 수산,샘플
2025-12-05,안산점,동사 대게,대게,69.0,62000,4278000,샘플 수산,샘플
2025-12-06,안산점,프리모리 대게,대게,103.0,55000,5665000,샘플 수산,샘플
2025-12-07,안산점,프리모리 대게,대게,91.6,56000,5129600,샘플 수산,샘플
2025-12-08,안산점,블루 킹크랩,킹크랩,113.7,90000,10233000,샘플 수산,샘플
2025-12-12,안산점,브라운 킹크랩,킹크랩,122.0,86000,10492000,샘플 수산,샘플
2025-12-24,안산점,블루 킹크랩,킹크랩,117.0,90000,10530000,샘플 수산,샘플
2025-12-27,안산점,베르디 대게,대게,72.7,54000,3925800,샘플 수산,샘플
2025-12-27,안산점,브라운 킹크랩,킹크랩,85.5,91000,7780500,샘플 수산,샘플
2025-12-28,안산점,레드 킹크랩,킹크랩,79.7,96000,7651200,샘플 수산,샘플
2025-12-29,안산점,레드 킹크랩,킹크랩,66.6,93000,6193799,샘플 수산,샘플
2026-01-01,안산점,프리모리 대게,대게,71.6,60000,4296000,샘플 수산,샘플
2026-01-02,안산점,베르디 대게,대게,128.8,60000,7728000,샘플 수산,샘플
2026-01-08,안산점,블루 킹크랩,킹크랩,51.0,92000,4692000,샘플 수산,샘플
2026-01-12,안산점,베르디 대게,대게,129.5,59000,7640500,샘플 수산,샘플
2026-01-19,안산점,브라운 킹크랩,킹크랩,87.9,91000,7998900,샘플 수산,샘플
2026-01-20,안산점,레드 킹크랩,킹크랩,94.8,97000,9195600,샘플 수산,샘플
2026-01-23,안산점,브라운 킹크랩,킹크랩,71.9,91000,6542900,샘플 수산,샘플
2026-01-26,안산점,브라운 킹크랩,킹크랩,119.5,94000,11233000,샘플 수산,샘플
2026-01-29,안산점,브라운 킹크랩,킹크랩,95.7,90000,8613000,샘플 수산,샘플
2026-01-30,안산점,동사 대게,대게,33.0,61000,2013000,샘플 수산,샘플
2026-02-02,안산점,마가단 대게,대게,47.0,57000,2679000,샘플 수산,샘플
2026-02-06,안산점,브라운 킹크랩,킹크랩,76.2,90000,6858000,샘플 수산,샘플
2026-02-11,안산점,브라운 킹크랩,킹크랩,125.8,88000,11070400,샘플 수산,샘플
2026-02-19,안산점,블루 킹크랩,킹크랩,129.9,84000,10911600,샘플 수산,샘플
2026-02-23,안산점,브라운 킹크랩,킹크랩,71.4,89000,6354600,샘플 수산,샘플
2026-03-02,안산점,베르디 대게,대게,112.2,57000,6395400,샘플 수산,샘플
2026-03-02,안산점,레드 킹크랩,킹크랩,111.8,86000,9614800,샘플 수산,샘플
2026-03-12,안산점,마가단 대게,대게,128.2,51000,6538199,샘플 수산,샘플
2026-03-17,안산점,블루 킹크랩,킹크랩,113.6,85000,9656000,샘플 수산,샘플
2026-03-20,안산점,베르디 대게,대게,66.0,54000,3564000,샘플 수산,샘플
2026-03-23,안산점,동사 대게,대게,98.8,51000,5038800,샘플 수산,샘플
2026-03-25,안산점,마가단 대게,대게,48.4,53000,2565200,샘플 수산,샘플
2026-03-26,안산점,브라운 킹크랩,킹크랩,39.3,79000,3104700,샘플 수산,샘플
2026-03-30,안산점,마가단 대게,대게,55.0,52000,2860000,샘플 수산,샘플
2026-04-01,안산점,블루 킹크랩,킹크랩,106.4,81000,8618400,샘플 수산,샘플
2026-04-02,안산점,마가단 대게,대게,64.0,51000,3264000,샘플 수산,샘플
2026-04-09,안산점,프리모리 대게,대게,105.7,46000,4862200,샘플 수산,샘플
2026-04-10,안산점,브라운 킹크랩,킹크랩,41.6,70000,2912000,샘플 수산,샘플
2026-04-18,안산점,브라운 킹크랩,킹크랩,73.2,69000,5050800,샘플 수산,샘플
2026-04-23,안산점,베르디 대게,대게,64.6,47000,3036199,샘플 수산,샘플
2026-04-27,안산점,브라운 킹크랩,킹크랩,100.4,67000,6726800,샘플 수산,샘플
2026-04-30,안산점,동사 대게,대게,36.4,43000,1565200,샘플 수산,샘플
2026-05-07,안산점,브라운 킹크랩,킹크랩,99.8,62000,6187600,샘플 수산,샘플
2026-05-11,안산점,동사 대게,대게,128.6,38000,4886800,샘플 수산,샘플
2026-05-11,안산점,브라운 킹크랩,킹크랩,106.5,59000,6283500,샘플 수산,샘플
2026-05-14,안산점,동사 대게,대게,115.8,36000,4168800,샘플 수산,샘플
2026-05-14,안산점,블루 킹크랩,킹크랩,65.8,65000,4277000,샘플 수산,샘플
2026-05-18,안산점,프리모리 대게,대게,80.9,43000,3478700,샘플 수산,샘플
2026-05-18,안산점,블루 킹크랩,킹크랩,116.0,64000,7424000,샘플 수산,샘플
2026-05-28,안산점,블루 킹크랩,킹크랩,85.0,56000,4760000,샘플 수산,샘플
2026-05-30,안산점,마가단 대게,대게,120.2,38000,4567600,샘플 수산,샘플
2026-06-01,안산점,마가단 대게,대게,124.9,37000,4621300,샘플 수산,샘플
2026-06-01,안산점,블루 킹크랩,킹크랩,71.3,61000,4349300,샘플 수산,샘플
2026-06-08,안산점,마가단 대게,대게,124.0,38000,4712000,샘플 수산,샘플
2026-06-08,안산점,레드 킹크랩,킹크랩,60.0,54000,3240000,샘플 수산,샘플
2026-06-11,안산점,블루 킹크랩,킹크랩,79.0,59000,4661000,샘플 수산,샘플
2026-06-15,안산점,동사 대게,대게,121.3,35000,4245500,샘플 수산,샘플
2026-06-16,안산점,베르디 대게,대게,33.2,34000,1128800,샘플 수산,샘플
2026-06-19,안산점,베르디 대게,대게,36.8,35000,1288000,샘플 수산,샘플
2026-06-21,안산점,동사 대게,대게,107.0,26000,2782000,샘플 수산,샘플
2026-06-21,안산점,브라운 킹크랩,킹크랩,67.0,53000,3551000,샘플 수산,샘플
2026-06-22,안산점,레드 킹크랩,킹크랩,118.2,51000,6028200,샘플 수산,샘플
2026-06-25,안산점,블루 킹크랩,킹크랩,97.8,51000,4987800,샘플 수산,샘플
2026-07-01,안산점,베르디 대게,대게,106.3,29000,3082700,샘플 수산,샘플
2026-07-02,안산점,마가단 대게,대게,85.7,34000,2913800,샘플 수산,샘플
2026-07-09,안산점,브라운 킹크랩,킹크랩,79.9,55000,4394500,샘플 수산,샘플
2026-07-11,안산점,브라운 킹크랩,킹크랩,46.0,50000,2300000,샘플 수산,샘플
2026-07-13,안산점,마가단 대게,대게,101.5,31000,3146500,샘플 수산,샘플
2026-07-13,안산점,블루 킹크랩,킹크랩,43.6,50000,2180000,샘플 수산,샘플
2026-07-16,안산점,레드 킹크랩,킹크랩,117.1,47000,5503700,샘플 수산,샘플
2026-07-23,안산점,블루 킹크랩,킹크랩,122.2,58000,7087600,샘플 수산,샘플
2026-07-31,안산점,프리모리 대게,대게,106.3,31000,3295300,샘플 수산,샘플
2026-08-01,안산점,레드 킹크랩,킹크랩,70.1,56000,3925599,샘플 수산,샘플
2026-08-05,안산점,마가단 대게,대게,60.4,26000,1570400,샘플 수산,샘플
2026-08-21,안산점,프리모리 대게,대게,77.9,37000,2882300,샘플 수산,샘플
2026-08-24,안산점,블루 킹크랩,킹크랩,61.9,59000,3652100,샘플 수산,샘플
2026-08-27,안산점,레드 킹크랩,킹크랩,110.0,57000,6270000,샘플 수산,샘플
2026-09-03,안산점,프리모리 대게,대게,51.5,41000,2111500,샘플 수산,샘플
2026-09-07,안산점,레드 킹크랩,킹크랩,111.5,59000,6578500,샘플 수산,샘플
2026-09-14,안산점,브라운 킹크랩,킹크랩,91.0,63000,5733000,샘플 수산,샘플
